Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Player,PlayerID
2014,23,DAL,16,16,13-3-0,311,459,67.8,3667,23,5.0,4,0.9,185,52.3,83,8.0,8.6,11.8,229.2,104.9,77.6,25,143,5.17,7.28,7.86,5,5,15.0,"PB,AP MVP-6,AP ORoY-1",Dak Prescott,PresDa01
2015,24,DAL,16,16,9-7-0,308,490,62.9,3324,22,4.5,13,2.7,162,43.3,81,6.8,6.49,10.8,207.8,86.6,70.0,32,185,6.13,6.01,5.74,0,4,13.0,,Dak Prescott,PresDa01
2016,25,DAL,16,16,10-6-0,356,526,67.7,3885,22,4.2,8,1.5,184,45.2,90,7.4,7.54,10.9,242.8,96.9,55.2,56,347,9.62,6.08,6.22,3,5,14.0,PB,Dak Prescott,PresDa01
2017,26,DAL,16,16,8-8-0,388,596,65.1,4902,30,5.0,11,1.8,229,52.3,62,8.2,8.4,12.6,306.4,99.7,71.9,23,151,3.72,7.68,7.84,0,0,15.0,,Dak Prescott,PresDa01
2018,27,DAL,5,5,2-3-0,151,222,68.0,1856,9,4.1,4,1.8,93,56.0,58,8.4,8.36,12.3,371.2,99.6,73.1,10,66,4.31,7.72,7.72,1,1,6.0,,Dak Prescott,PresDa01
2019,28,DAL,16,16,11-5-0,410,596,68.8,4449,37,6.2,10,1.7,227,51.4,51,7.5,7.95,10.9,278.1,104.2,60.5,30,144,4.79,6.88,7.34,1,2,14.0,AP CPoY-2,Dak Prescott,PresDa01
2020,29,DAL,12,12,8-4-0,261,394,66.2,2860,23,5.8,15,3.8,142,51.7,68,7.3,6.71,11.0,238.3,91.1,59.9,20,126,4.83,6.6,6.08,2,2,11.0,,Dak Prescott,PresDa01
2021,30,DAL,17,17,12-5-0,410,590,69.5,4516,36,6.1,9,1.5,222,51.5,92,7.7,8.19,11.0,265.6,105.9,73.4,39,255,6.2,6.77,7.28,2,3,19.0,"PB,AP-2,AP MVP-2,AP OPoY-5",Dak Prescott,PresDa01
2022,31,DAL,8,8,3-5-0,185,286,64.7,1978,11,3.8,8,2.8,87,45.3,65,6.9,6.43,10.7,247.3,86.0,41.9,21,112,6.84,6.08,5.62,1,1,5.0,,Dak Prescott,PresDa01
2023,32,DAL,13,13,6-6-1,334,484,69.0,3637,26,5.4,10,2.1,178,49.0,74,7.5,7.66,10.9,279.8,100.2,73.4,22,155,4.35,6.88,7.02,4,3,,,Dak Prescott,PresDa01
